EpThisIter,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,AI_return,EpRewMean,loss_ent,AI_distance,loss_kl,EpisodesSoFar,EpLenMean,AI_success_rate,ev_tdlam_before,loss_vf_loss,TimeElapsed
4,-0.017474553,247544,0.0,-5087.529157965792,-4155.662719225332,5.5708756,16.08436744943256,0.006998193,527,491.23,0.0056925996204933585,0.17639029026031494,28575.844,565.0843424797058
3,-0.018159222,249397,0.0,-5062.47928969375,-4202.662809173998,5.5606027,16.049416566158772,0.004734147,530,501.8,0.005660377358490566,0.386934757232666,23968.74,569.7657821178436
4,-0.017887395,251635,0.0,-5036.725953319924,-4114.68671416661,5.5538387,16.01987806588105,0.0053655887,534,493.93,0.0056179775280898875,0.46646571159362793,32170.852,574.4616758823395
3,-0.016204001,253746,0.0,-5017.828343524543,-4103.930658205631,5.542928,15.99104995197662,0.004903584,537,511.4,0.00558659217877095,0.508742481470108,53919.1,579.1324677467346
6,-0.01319848,255975,0.0,-4979.962998372784,-3936.7167011677025,5.5489345,15.945259671644141,0.006471563,543,519.93,0.0055248618784530384,0.7000936567783356,28639.945,583.8594510555267
3,-0.016362794,256809,0.0,-4938.002168387212,-3557.1839934522905,5.548075,15.923555632983263,0.005757452,546,497.92,0.005494505494505495,0.7205112874507904,65471.09,588.534247636795
8,-0.017737564,260066,0.0,-4889.325830234867,-3296.7802941447594,5.548674,15.900274321027156,0.006075394,554,493.19,0.005415162454873646,0.6672884225845337,50204.547,593.2323622703552
5,-0.014327352,261532,0.0,-4860.143291020788,-2939.0338326705155,5.531977,15.898101975854402,0.0053366865,559,468.68,0.005366726296958855,0.6400547623634338,85767.44,597.9742217063904
6,-0.017891917,263954,0.0,-4852.049826186404,-2801.277114433076,5.5089574,15.902779910772859,0.007105812,565,447.93,0.005309734513274336,0.8098949193954468,43556.38,602.6171350479126
4,-0.015804159,265944,0.0,-4860.792727912956,-2915.232769578789,5.4930253,15.895180224150696,0.0043225707,569,451.51,0.005272407732864675,0.6172918081283569,152791.23,607.3526830673218
3,-0.013760459,266732,0.0,-4849.156773051326,-2838.3808793226845,5.483831,15.889128593146241,0.004985578,572,451.43,0.005244755244755245,0.41641414165496826,39577.734,611.900152683258
4,-0.015790306,270194,0.0,-4841.932792692674,-2723.235297013041,5.494002,15.85602617563835,0.005149003,576,451.27,0.005208333333333333,0.5920422077178955,110757.6,616.6362364292145
4,-0.014207593,271788,0.0,-4827.508216662972,-2622.1176333363296,5.4917293,15.838094921512825,0.00602467,580,451.98,0.005172413793103448,0.7003509104251862,47816.58,621.3667476177216
